acid,country,year,quarter_of_year,month_of_year,week_of_year,freq_signup,freq_sportsapp,freq_survey,freq_raffle,freq_reviews,freq_email,freq_adiclub_email,freq_pn,freq_adiclub_pn,freq_transactions,freq_earn_points,freq_points_redemption,freq_rewards_redemption,freq_confirmed,freq_dotcom,freq_flagshipapp,freq_hype,freq_pdp,freq_plp,freq_add_to_cart,freq_preference,freq_wishlist,refresh_date
W884Q2CXMZIUPJAY,GB,2022,4,10,43,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2024-03-04
SK35CN4PN3D8BSQ5,GB,2022,4,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2024-03-04
PEFUFIL9L91LWRCH,GB,2022,4,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04
L3C6LK6TNPV7TU4T,GB,2022,4,10,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,2024-03-04
ZLJNMTPZ5A03AEYN,GB,2022,4,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,15,0,0,0,2024-03-04
K9PXJ8LK564R06LC,GB,2022,4,11,44,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,2,1,1,0,0,2024-03-04
Q4LI579VQZCTPPC0,GB,2022,4,12,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,6,2,0,0,2024-03-04
7WUEQF0HNEKFJ9VE,GB,2022,4,11,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6,0,7,6,2,0,2,2024-03-04
PHVUXFT3MLCC3RTZ,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-03-04
GRN8MOAYHNVKDFWT,GB,2022,4,10,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04
Q9XAM06HV8LRICLK,GB,2022,4,11,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2024-03-04
7BXPM5Y0MZDD2V8P,GB,2022,4,10,41,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,20,0,18,8,10,0,14,2024-03-04
JCOU426G7M8DIMNX,GB,2022,4,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2024-03-04
G13YSOEEAFZRGZO7,GB,2022,4,11,46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2024-03-04
G0XKMV942GZO47KP,GB,2022,4,12,49,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,1,1,0,0,2024-03-04
NBLSGWQM8YDOYL0P,GB,2022,4,12,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04
4O6HRK4DRDQ8WPRF,GB,2022,4,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,1,0,0,2024-03-04
ZFKYUAPEA8NYI62U,GB,2022,4,10,43,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2024-03-04
DRTXKS3ARF7RNGOL,GB,2022,4,11,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2024-03-04
B5B0GDDKELJ1KHA5,GB,2022,4,12,50,2,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,2,1,1,0,0,2024-03-04
VOQ09ECHPJ3VJTEU,GB,2022,4,11,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04
LUZ65TC8D4CKWDDQ,GB,2022,4,12,48,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,2,1,0,0,2024-03-04
R5UCVNJIAIT9DKKO,GB,2022,4,12,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04
WZHA7POLM9S7340U,GB,2022,4,10,41,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3,13,0,11,15,1,0,0,2024-03-04
2GN95PP12AOQ98OV,GB,2022,4,11,48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,2,1,0,0,0,2024-03-04
43K9VABMKTF3H3HD,GB,2022,4,11,48,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2024-03-04
UN10MVF20RW97G32,GB,2022,4,10,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2024-03-04
AUEA5D97N8F16O4J,GB,2022,4,12,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04
LRVSKP730WFHOM4U,GB,2022,4,12,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2024-03-04
3UIQCSKOIYP7ZQXS,GB,2022,4,11,46,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2024-03-04
E1NOMJSQJ16U4AIK,GB,2022,4,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2024-03-04
VJAOFD74YVRUM0VJ,GB,2022,4,11,47,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,31,0,26,12,0,0,1,2024-03-04
M3FGK3EZ9H0EWVNF,GB,2022,4,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,4,1,0,0,0,2024-03-04
SO1YK3THG6S5T7YQ,GB,2022,4,10,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2024-03-04
3G37YXWQAB8BCNFM,GB,2022,4,11,47,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2024-03-04
V08RT7YC5KC7GYWX,GB,2022,4,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2024-03-04
6R73MGNJ0JW0Z02F,GB,2022,4,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,4,2,2,0,0,2024-03-04
8TM8W6IJIKD85VAJ,GB,2022,4,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2024-03-04
YH8CQT3ZBPZ8H9VL,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2024-03-04
LJ1IRNFN5IJ5GRST,GB,2022,4,12,50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2024-03-04
3YVL1H2F265WB0ZZ,GB,2022,4,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04
J8ICWRKXOMPWMGWZ,GB,2022,4,10,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2024-03-04
B68R1SRMC5JWSDT1,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2024-03-04
ZFVT7MWDNB8I8NUP,GB,2022,4,12,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,8,0,0,1,0,2024-03-04
WHR6UN31PLO5N5MG,GB,2022,4,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2024-03-04
WL9P0KBK4HN7ENSK,GB,2022,4,12,49,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,1,1,0,1,2024-03-04
R9K4NV6BVQ2W16W0,GB,2022,4,11,47,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,1,0,1,2024-03-04
MBH19C8HEW24JO3B,GB,2022,4,12,50,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,38,0,6,10,0,4,0,2024-03-04
V7RNTKHZD38LEKQ0,GB,2022,4,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04
38N2XZFC51NT5KON,GB,2022,4,11,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2024-03-04
J1NX9JSQIK3AYRDB,GB,2022,4,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,6,6,0,2,2024-03-04
N9RYWWCQ7XLTVO5Z,GB,2022,4,11,46,1,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,2,1,1,0,0,2024-03-04
31GNDJ96A72B86OS,GB,2022,4,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,6,0,0,4,2024-03-04
AENCQ2GW1K099IMQ,GB,2022,4,12,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2024-03-04
TGMLPJED19V2YHC6,GB,2022,4,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2024-03-04
Q7BRMEO65NEFVE4Y,GB,2022,4,11,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04
PG1W3OLAEM3T7UXP,GB,2022,4,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2024-03-04
UM5S2ZNOZEOZPMCH,GB,2022,4,12,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04
M40VJXVZ8AJ565F3,GB,2022,4,11,46,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,1,1,0,0,2024-03-04
IL9EFLQRRXDPM34F,GB,2022,4,11,44,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2024-03-04
3Q487WZ6BM0ALNG4,GB,2022,4,11,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04
965VNEQ4DK9EVETT,GB,2022,4,11,46,1,0,2,0,0,4,1,0,0,2,3,0,0,0,7,0,0,5,3,3,1,1,2024-03-04
INYT75DUV13RS7DY,GB,2022,4,12,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2024-03-04
3TKTUKIO6Q7W8K9I,GB,2022,4,12,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2024-03-04
QJCBR5ODKY83T9MF,GB,2022,4,10,39,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2024-03-04
WDW64AYW8SKLIOHC,GB,2022,4,11,45,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,2024-03-04
7KZ7RVEHD1EUVQGH,GB,2022,4,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2024-03-04
Q2BPZ01QFQ0BGPZA,GB,2022,4,11,47,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,4,4,2,0,1,2024-03-04
C9ETP2IMBULR55N9,GB,2022,4,10,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-03-04
G9267C52MPXLDI3N,GB,2022,4,11,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,4,4,2,0,0,2024-03-04
4BQ7MCF62G1N467W,GB,2022,4,12,51,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,10,0,6,4,4,0,1,2024-03-04
